Player,Year,Count
Stanley Matthews,1934,2
Stanley Matthews,1935,1
Stanley Matthews,1936,0
Stanley Matthews,1937,3
Stanley Matthews,1938,8
Stanley Matthews,1939,3
Stanley Matthews,1940,0
Stanley Matthews,1941,0
Stanley Matthews,1942,0
Stanley Matthews,1943,0
Stanley Matthews,1944,0
Stanley Matthews,1945,0
Stanley Matthews,1946,0
Stanley Matthews,1947,6
Stanley Matthews,1948,6
Stanley Matthews,1949,1
Stanley Matthews,1950,2
Stanley Matthews,1951,1
Stanley Matthews,1952,0
Stanley Matthews,1953,3
Stanley Matthews,1954,5
Stanley Matthews,1955,5
Stanley Matthews,1956,5
Stanley Matthews,1957,3
Stanley Matthews,1958,0
Stanley Matthews,1959,0
Stanley Matthews,1960,0
Stanley Matthews,1961,0
Stanley Matthews,1962,0
Stanley Matthews,1963,0
Stanley Matthews,1964,0
Stanley Matthews,1965,0
Stanley Matthews,1966,0
Stanley Matthews,1967,0
Stanley Matthews,1968,0
Stanley Matthews,1969,0
Stanley Matthews,1970,0
Stanley Matthews,1971,0
Stanley Matthews,1972,0
Stanley Matthews,1973,0
Stanley Matthews,1974,0
Stanley Matthews,1975,0
Stanley Matthews,1976,0
Stanley Matthews,1977,0
Stanley Matthews,1978,0
Stanley Matthews,1979,0
Stanley Matthews,1980,0
Stanley Matthews,1981,0
Stanley Matthews,1982,0
Stanley Matthews,1983,0
Stanley Matthews,1984,0
Stanley Matthews,1985,0
Stanley Matthews,1986,0
Stanley Matthews,1987,0
Stanley Matthews,1988,0
Stanley Matthews,1989,0
Stanley Matthews,1990,0
Stanley Matthews,1991,0
Stanley Matthews,1992,0
Stanley Matthews,1993,0
Stanley Matthews,1994,0
Stanley Matthews,1995,0
Stanley Matthews,1996,0
Stanley Matthews,1997,0
Stanley Matthews,1998,0
Stanley Matthews,1999,0
Stanley Matthews,2000,0
Stanley Matthews,2001,0
Stanley Matthews,2002,0
Stanley Matthews,2003,0
Stanley Matthews,2004,0
Stanley Matthews,2005,0
Stanley Matthews,2006,0
Stanley Matthews,2007,0
Stanley Matthews,2008,0
Stanley Matthews,2009,0
Stanley Matthews,2010,0
Stanley Matthews,2011,0
Stanley Matthews,2012,0
Stanley Matthews,2013,0
Stanley Matthews,2014,0
Stanley Matthews,2015,0
Stanley Matthews,2016,0
Stanley Matthews,2017,0
Stanley Matthews,2018,0
Stanley Matthews,2019,0
Stanley Matthews,2020,0
Stanley Matthews,2021,0
Alfredo Di Stefano,1934,0
Alfredo Di Stefano,1935,0
Alfredo Di Stefano,1936,0
Alfredo Di Stefano,1937,0
Alfredo Di Stefano,1938,0
Alfredo Di Stefano,1939,0
Alfredo Di Stefano,1940,0
Alfredo Di Stefano,1941,0
Alfredo Di Stefano,1942,0
Alfredo Di Stefano,1943,0
Alfredo Di Stefano,1944,0
Alfredo Di Stefano,1945,0
Alfredo Di Stefano,1946,0
Alfredo Di Stefano,1947,6
Alfredo Di Stefano,1948,0
Alfredo Di Stefano,1949,0
Alfredo Di Stefano,1950,0
Alfredo Di Stefano,1951,0
Alfredo Di Stefano,1952,0
Alfredo Di Stefano,1953,0
Alfredo Di Stefano,1954,0
Alfredo Di Stefano,1955,0
Alfredo Di Stefano,1956,0
Alfredo Di Stefano,1957,7
Alfredo Di Stefano,1958,4
Alfredo Di Stefano,1959,5
Alfredo Di Stefano,1960,8
Alfredo Di Stefano,1961,7
Alfredo Di Stefano,1962,0
Alfredo Di Stefano,1963,0
Alfredo Di Stefano,1964,0
Alfredo Di Stefano,1965,0
Alfredo Di Stefano,1966,0
Alfredo Di Stefano,1967,0
Alfredo Di Stefano,1968,0
Alfredo Di Stefano,1969,0
Alfredo Di Stefano,1970,0
Alfredo Di Stefano,1971,0
Alfredo Di Stefano,1972,0
Alfredo Di Stefano,1973,0
Alfredo Di Stefano,1974,0
Alfredo Di Stefano,1975,0
Alfredo Di Stefano,1976,0
Alfredo Di Stefano,1977,0
Alfredo Di Stefano,1978,0
Alfredo Di Stefano,1979,0
Alfredo Di Stefano,1980,0
Alfredo Di Stefano,1981,0
Alfredo Di Stefano,1982,0
Alfredo Di Stefano,1983,0
Alfredo Di Stefano,1984,0
Alfredo Di Stefano,1985,0
Alfredo Di Stefano,1986,0
Alfredo Di Stefano,1987,0
Alfredo Di Stefano,1988,0
Alfredo Di Stefano,1989,0
Alfredo Di Stefano,1990,0
Alfredo Di Stefano,1991,0
Alfredo Di Stefano,1992,0
Alfredo Di Stefano,1993,0
Alfredo Di Stefano,1994,0
Alfredo Di Stefano,1995,0
Alfredo Di Stefano,1996,0
Alfredo Di Stefano,1997,0
Alfredo Di Stefano,1998,0
Alfredo Di Stefano,1999,0
Alfredo Di Stefano,2000,0
Alfredo Di Stefano,2001,0
Alfredo Di Stefano,2002,0
Alfredo Di Stefano,2003,0
Alfredo Di Stefano,2004,0
Alfredo Di Stefano,2005,0
Alfredo Di Stefano,2006,0
Alfredo Di Stefano,2007,0
Alfredo Di Stefano,2008,0
Alfredo Di Stefano,2009,0
Alfredo Di Stefano,2010,0
Alfredo Di Stefano,2011,0
Alfredo Di Stefano,2012,0
Alfredo Di Stefano,2013,0
Alfredo Di Stefano,2014,0
Alfredo Di Stefano,2015,0
Alfredo Di Stefano,2016,0
Alfredo Di Stefano,2017,0
Alfredo Di Stefano,2018,0
Alfredo Di Stefano,2019,0
Alfredo Di Stefano,2020,0
Alfredo Di Stefano,2021,0
Raymond Kopa,1934,0
Raymond Kopa,1935,0
Raymond Kopa,1936,0
Raymond Kopa,1937,0
Raymond Kopa,1938,0
Raymond Kopa,1939,0
Raymond Kopa,1940,0
Raymond Kopa,1941,0
Raymond Kopa,1942,0
Raymond Kopa,1943,0
Raymond Kopa,1944,0
Raymond Kopa,1945,0
Raymond Kopa,1946,0
Raymond Kopa,1947,0
Raymond Kopa,1948,0
Raymond Kopa,1949,0
Raymond Kopa,1950,0
Raymond Kopa,1951,0
Raymond Kopa,1952,5
Raymond Kopa,1953,6
Raymond Kopa,1954,6
Raymond Kopa,1955,6
Raymond Kopa,1956,1
Raymond Kopa,1957,0
Raymond Kopa,1958,7
Raymond Kopa,1959,4
Raymond Kopa,1960,3
Raymond Kopa,1961,3
Raymond Kopa,1962,4
Raymond Kopa,1963,0
Raymond Kopa,1964,0
Raymond Kopa,1965,0
Raymond Kopa,1966,0
Raymond Kopa,1967,0
Raymond Kopa,1968,0
Raymond Kopa,1969,0
Raymond Kopa,1970,0
Raymond Kopa,1971,0
Raymond Kopa,1972,0
Raymond Kopa,1973,0
Raymond Kopa,1974,0
Raymond Kopa,1975,0
Raymond Kopa,1976,0
Raymond Kopa,1977,0
Raymond Kopa,1978,0
Raymond Kopa,1979,0
Raymond Kopa,1980,0
Raymond Kopa,1981,0
Raymond Kopa,1982,0
Raymond Kopa,1983,0
Raymond Kopa,1984,0
Raymond Kopa,1985,0
Raymond Kopa,1986,0
Raymond Kopa,1987,0
Raymond Kopa,1988,0
Raymond Kopa,1989,0
Raymond Kopa,1990,0
Raymond Kopa,1991,0
Raymond Kopa,1992,0
Raymond Kopa,1993,0
Raymond Kopa,1994,0
Raymond Kopa,1995,0
Raymond Kopa,1996,0
Raymond Kopa,1997,0
Raymond Kopa,1998,0
Raymond Kopa,1999,0
Raymond Kopa,2000,0
Raymond Kopa,2001,0
Raymond Kopa,2002,0
Raymond Kopa,2003,0
Raymond Kopa,2004,0
Raymond Kopa,2005,0
Raymond Kopa,2006,0
Raymond Kopa,2007,0
Raymond Kopa,2008,0
Raymond Kopa,2009,0
Raymond Kopa,2010,0
Raymond Kopa,2011,0
Raymond Kopa,2012,0
Raymond Kopa,2013,0
Raymond Kopa,2014,0
Raymond Kopa,2015,0
Raymond Kopa,2016,0
Raymond Kopa,2017,0
Raymond Kopa,2018,0
Raymond Kopa,2019,0
Raymond Kopa,2020,0
Raymond Kopa,2021,0
Luis Suarez,1934,0
Luis Suarez,1935,0
Luis Suarez,1936,0
Luis Suarez,1937,0
Luis Suarez,1938,0
Luis Suarez,1939,0
Luis Suarez,1940,0
Luis Suarez,1941,0
Luis Suarez,1942,0
Luis Suarez,1943,0
Luis Suarez,1944,0
Luis Suarez,1945,0
Luis Suarez,1946,0
Luis Suarez,1947,0
Luis Suarez,1948,0
Luis Suarez,1949,0
Luis Suarez,1950,0
Luis Suarez,1951,0
Luis Suarez,1952,0
Luis Suarez,1953,0
Luis Suarez,1954,0
Luis Suarez,1955,0
Luis Suarez,1956,0
Luis Suarez,1957,6
Luis Suarez,1958,3
Luis Suarez,1959,5
Luis Suarez,1960,7
Luis Suarez,1961,1
Luis Suarez,1962,2
Luis Suarez,1963,1
Luis Suarez,1964,2
Luis Suarez,1965,2
Luis Suarez,1966,2
Luis Suarez,1967,0
Luis Suarez,1968,0
Luis Suarez,1969,0
Luis Suarez,1970,0
Luis Suarez,1971,0
Luis Suarez,1972,1
Luis Suarez,1973,0
Luis Suarez,1974,0
Luis Suarez,1975,0
Luis Suarez,1976,0
Luis Suarez,1977,0
Luis Suarez,1978,0
Luis Suarez,1979,0
Luis Suarez,1980,0
Luis Suarez,1981,0
Luis Suarez,1982,0
Luis Suarez,1983,0
Luis Suarez,1984,0
Luis Suarez,1985,0
Luis Suarez,1986,0
Luis Suarez,1987,0
Luis Suarez,1988,0
Luis Suarez,1989,0
Luis Suarez,1990,0
Luis Suarez,1991,0
Luis Suarez,1992,0
Luis Suarez,1993,0
Luis Suarez,1994,0
Luis Suarez,1995,0
Luis Suarez,1996,0
Luis Suarez,1997,0
Luis Suarez,1998,0
Luis Suarez,1999,0
Luis Suarez,2000,0
Luis Suarez,2001,0
Luis Suarez,2002,0
Luis Suarez,2003,0
Luis Suarez,2004,0
Luis Suarez,2005,0
Luis Suarez,2006,0
Luis Suarez,2007,0
Luis Suarez,2008,0
Luis Suarez,2009,0
Luis Suarez,2010,0
Luis Suarez,2011,0
Luis Suarez,2012,0
Luis Suarez,2013,0
Luis Suarez,2014,0
Luis Suarez,2015,0
Luis Suarez,2016,0
Luis Suarez,2017,0
Luis Suarez,2018,0
Luis Suarez,2019,0
Luis Suarez,2020,0
Luis Suarez,2021,0
Omar Sivori,1934,0
Omar Sivori,1935,0
Omar Sivori,1936,0
Omar Sivori,1937,0
Omar Sivori,1938,0
Omar Sivori,1939,0
Omar Sivori,1940,0
Omar Sivori,1941,0
Omar Sivori,1942,0
Omar Sivori,1943,0
Omar Sivori,1944,0
Omar Sivori,1945,0
Omar Sivori,1946,0
Omar Sivori,1947,0
Omar Sivori,1948,0
Omar Sivori,1949,0
Omar Sivori,1950,0
Omar Sivori,1951,0
Omar Sivori,1952,0
Omar Sivori,1953,0
Omar Sivori,1954,0
Omar Sivori,1955,0
Omar Sivori,1956,13
Omar Sivori,1957,6
Omar Sivori,1958,0
Omar Sivori,1959,0
Omar Sivori,1960,0
Omar Sivori,1961,5
Omar Sivori,1962,4
Omar Sivori,1963,0
Omar Sivori,1964,0
Omar Sivori,1965,0
Omar Sivori,1966,0
Omar Sivori,1967,0
Omar Sivori,1968,0
Omar Sivori,1969,0
Omar Sivori,1970,0
Omar Sivori,1971,0
Omar Sivori,1972,0
Omar Sivori,1973,0
Omar Sivori,1974,0
Omar Sivori,1975,0
Omar Sivori,1976,0
Omar Sivori,1977,0
Omar Sivori,1978,0
Omar Sivori,1979,0
Omar Sivori,1980,0
Omar Sivori,1981,0
Omar Sivori,1982,0
Omar Sivori,1983,0
Omar Sivori,1984,0
Omar Sivori,1985,0
Omar Sivori,1986,0
Omar Sivori,1987,0
Omar Sivori,1988,0
Omar Sivori,1989,0
Omar Sivori,1990,0
Omar Sivori,1991,0
Omar Sivori,1992,0
Omar Sivori,1993,0
Omar Sivori,1994,0
Omar Sivori,1995,0
Omar Sivori,1996,0
Omar Sivori,1997,0
Omar Sivori,1998,0
Omar Sivori,1999,0
Omar Sivori,2000,0
Omar Sivori,2001,0
Omar Sivori,2002,0
Omar Sivori,2003,0
Omar Sivori,2004,0
Omar Sivori,2005,0
Omar Sivori,2006,0
Omar Sivori,2007,0
Omar Sivori,2008,0
Omar Sivori,2009,0
Omar Sivori,2010,0
Omar Sivori,2011,0
Omar Sivori,2012,0
Omar Sivori,2013,0
Omar Sivori,2014,0
Omar Sivori,2015,0
Omar Sivori,2016,0
Omar Sivori,2017,0
Omar Sivori,2018,0
Omar Sivori,2019,0
